Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
Russia;2017;Malware;Retail;86.61;786789;Hacker Group;Social Engineering;VPN;97
UK;2017;DDoS;Telecommunications;61.96;171391;Nation-state;Zero-day;Encryption;97
Canada;2021;SQL Injection;IT;15.82;984663;Unknown;Zero-day;Firewall;96
Israel;2021;Malware;Retail;49.33;673304;Nation-state;Weak Passwords;AI-based Detection;64
Israel;2019;Malware;IT;55.63;822539;Unknown;Weak Passwords;Encryption;120
France;2020;Man-in-the-Middle;Banking;41.89;867686;Nation-state;Unpatched Software;Encryption;74
Iran;2019;Malware;Telecommunications;24.84;255654;Insider;Zero-day;VPN;107
Canada;2022;Phishing;Retail;11.42;403685;Hacker Group;Social Engineering;Antivirus;83
Nigeria;2023;SQL Injection;IT;20.69;882842;Hacker Group;Zero-day;Firewall;87
Brazil;2023;Malware;Government;29.56;886838;Nation-state;Zero-day;Encryption;114
India;2017;Phishing;Government;76.92;40445;Hacker Group;Social Engineering;VPN;82
China;2017;DDoS;IT;66.86;132630;Hacker Group;Weak Passwords;Encryption;91
Spain;2023;SQL Injection;Government;34.26;227644;Hacker Group;Zero-day;Firewall;47
Australia;2015;Malware;Government;90.54;118540;Insider;Unpatched Software;AI-based Detection;40
China;2023;Man-in-the-Middle;Retail;32.34;592678;Insider;Zero-day;VPN;60
Germany;2024;Malware;IT;15.88;703852;Unknown;Unpatched Software;Firewall;102
UK;2016;SQL Injection;Telecommunications;49.38;227142;Nation-state;Zero-day;Firewall;35
Spain;2017;SQL Injection;Education;27.42;591178;Unknown;Zero-day;Firewall;55
South Africa;2024;Phishing;Retail;42.62;187813;Nation-state;Social Engineering;VPN;105
USA;2018;Phishing;Government;93.27;296559;Hacker Group;Social Engineering;Antivirus;55
USA;2015;Man-in-the-Middle;Education;45.36;83519;Hacker Group;Social Engineering;AI-based Detection;100
Israel;2017;Man-in-the-Middle;IT;43.92;928690;Hacker Group;Unpatched Software;VPN;100
France;2015;Phishing;Healthcare;29.9;302327;Insider;Social Engineering;VPN;118
Australia;2023;SQL Injection;Telecommunications;85.65;54712;Nation-state;Zero-day;Firewall;115
South Korea;2017;SQL Injection;IT;39.39;417347;Nation-state;Zero-day;Firewall;112
Iran;2024;Malware;IT;65.81;620153;Insider;Unpatched Software;Firewall;69
Canada;2021;Man-in-the-Middle;Government;9.7;135565;Hacker Group;Unpatched Software;VPN;39
Japan;2017;Malware;Healthcare;54.52;814948;Insider;Social Engineering;AI-based Detection;75
France;2019;Ransomware;Retail;23.65;552659;Hacker Group;Weak Passwords;Antivirus;71
Israel;2024;Phishing;Telecommunications;50.22;281576;Nation-state;Social Engineering;Antivirus;118
Australia;2018;Phishing;Banking;49.75;877009;Hacker Group;Social Engineering;Antivirus;95
Mexico;2016;Ransomware;Education;40.31;349222;Insider;Weak Passwords;AI-based Detection;75
South Korea;2022;Ransomware;Retail;24.83;235394;Hacker Group;Weak Passwords;Firewall;82
Brazil;2023;Ransomware;Healthcare;32.29;998380;Hacker Group;Weak Passwords;Encryption;84
South Korea;2019;DDoS;Healthcare;96.21;190112;Hacker Group;Social Engineering;AI-based Detection;91
Japan;2017;Malware;Telecommunications;92.12;18272;Nation-state;Unpatched Software;VPN;30
Australia;2015;Ransomware;Banking;71.03;626583;Insider;Weak Passwords;AI-based Detection;49
South Korea;2015;Malware;Government;86.95;405282;Hacker Group;Weak Passwords;Encryption;72
South Africa;2019;Phishing;IT;75.94;461053;Unknown;Social Engineering;Antivirus;48
Canada;2023;Man-in-the-Middle;Retail;16.29;615487;Insider;Unpatched Software;Firewall;87
Germany;2020;DDoS;Education;80.61;11248;Unknown;Zero-day;Firewall;94
Italy;2017;DDoS;Healthcare;59.93;450863;Insider;Zero-day;Firewall;119
Israel;2024;Malware;Banking;71.03;129246;Nation-state;Weak Passwords;Antivirus;46
Germany;2017;Malware;Telecommunications;78.36;514360;Insider;Weak Passwords;Encryption;35
UK;2015;Malware;IT;83.19;260281;Nation-state;Zero-day;Firewall;60
Spain;2023;Man-in-the-Middle;Healthcare;83.1;722561;Hacker Group;Zero-day;AI-based Detection;54
Mexico;2021;DDoS;Banking;30.12;745324;Unknown;Weak Passwords;Antivirus;71
Australia;2023;Phishing;Healthcare;78.52;486707;Hacker Group;Social Engineering;Antivirus;59
France;2021;Man-in-the-Middle;Healthcare;72.29;504855;Insider;Weak Passwords;Firewall;73
Japan;2024;Man-in-the-Middle;Government;59.54;656612;Insider;Zero-day;Firewall;32
Iran;2022;Ransomware;Education;82.72;469573;Insider;Weak Passwords;VPN;40
Spain;2019;DDoS;Banking;69.94;101598;Hacker Group;Social Engineering;AI-based Detection;38
Mexico;2016;DDoS;Healthcare;94.61;387737;Insider;Weak Passwords;Firewall;83
Iran;2019;Malware;Education;87.24;614830;Nation-state;Unpatched Software;Encryption;44
Japan;2021;DDoS;IT;91.38;595764;Insider;Zero-day;AI-based Detection;105
Italy;2016;DDoS;Education;84.72;538248;Unknown;Weak Passwords;AI-based Detection;24
India;2017;Malware;Healthcare;8.31;970616;Hacker Group;Weak Passwords;Encryption;76
UK;2019;Malware;Banking;63.6;153097;Hacker Group;Zero-day;VPN;93
Italy;2016;Man-in-the-Middle;Education;88.86;154673;Unknown;Weak Passwords;Antivirus;33
Germany;2019;SQL Injection;Banking;46.82;146207;Hacker Group;Zero-day;Firewall;82
South Africa;2023;Malware;Retail;16.96;607636;Unknown;Zero-day;Firewall;34
China;2017;Malware;Retail;99.4;882318;Insider;Unpatched Software;Encryption;105
Russia;2022;Ransomware;Banking;70.68;805580;Hacker Group;Weak Passwords;Antivirus;114
Italy;2015;Malware;Banking;11.01;696355;Unknown;Zero-day;VPN;50
China;2016;SQL Injection;Banking;58.5;332068;Unknown;Zero-day;Firewall;31
Germany;2022;Malware;Education;8.97;973928;Nation-state;Weak Passwords;AI-based Detection;83
Israel;2023;Malware;Healthcare;51.82;926506;Unknown;Social Engineering;Antivirus;36
France;2017;Phishing;IT;86.24;80443;Insider;Social Engineering;VPN;32
France;2020;Malware;Government;70.89;976545;Hacker Group;Weak Passwords;VPN;105
Iran;2020;Phishing;Banking;9.19;49049;Hacker Group;Social Engineering;VPN;44
Russia;2019;SQL Injection;Banking;80.71;260398;Insider;Zero-day;Firewall;85
South Korea;2015;Ransomware;Telecommunications;66.21;539039;Unknown;Weak Passwords;Encryption;97
Spain;2020;DDoS;Education;92.08;555948;Nation-state;Zero-day;Antivirus;85
USA;2019;Malware;Retail;28.17;324674;Nation-state;Zero-day;Encryption;38
Mexico;2021;DDoS;Telecommunications;16.6;747350;Nation-state;Zero-day;Firewall;106
Nigeria;2018;Man-in-the-Middle;Government;92.81;161072;Insider;Zero-day;Antivirus;90
UK;2020;Phishing;Government;27.84;93674;Nation-state;Social Engineering;Antivirus;74
Iran;2020;Phishing;Telecommunications;88.99;979634;Unknown;Social Engineering;VPN;37
Spain;2020;DDoS;Retail;75.69;577261;Insider;Social Engineering;Firewall;101
South Africa;2018;Ransomware;Banking;22.83;170270;Insider;Weak Passwords;Firewall;118
India;2024;Man-in-the-Middle;Government;50.28;362301;Unknown;Weak Passwords;VPN;24
Italy;2023;Phishing;IT;75.87;499300;Insider;Social Engineering;Antivirus;62
Italy;2018;Phishing;Retail;57.55;312452;Hacker Group;Social Engineering;VPN;94
Israel;2021;DDoS;Telecommunications;13.48;19794;Hacker Group;Zero-day;Firewall;119
Germany;2021;SQL Injection;Banking;62.69;298244;Hacker Group;Zero-day;Firewall;58
France;2020;Malware;Healthcare;63.97;557727;Unknown;Zero-day;Firewall;35
Italy;2022;DDoS;Banking;51.12;850395;Insider;Zero-day;Encryption;52
South Korea;2021;DDoS;Telecommunications;64.15;499845;Insider;Social Engineering;AI-based Detection;89
South Africa;2020;Ransomware;Healthcare;86.19;296954;Hacker Group;Weak Passwords;Encryption;89
Russia;2015;Ransomware;Retail;43.76;174205;Hacker Group;Weak Passwords;AI-based Detection;92
Mexico;2017;DDoS;IT;27.95;546367;Unknown;Unpatched Software;VPN;69
Israel;2017;Ransomware;Retail;74.04;341721;Nation-state;Weak Passwords;Encryption;71
Brazil;2017;Malware;Retail;44.75;994953;Insider;Social Engineering;Antivirus;110
Australia;2016;Man-in-the-Middle;Education;28.23;134518;Unknown;Social Engineering;Encryption;43
Brazil;2016;Phishing;Government;36.57;530831;Insider;Social Engineering;Antivirus;29
Nigeria;2021;Man-in-the-Middle;IT;18.2;841522;Hacker Group;Zero-day;Encryption;111
Iran;2018;SQL Injection;Government;78.91;823188;Unknown;Zero-day;Firewall;82
India;2021;SQL Injection;Education;87.17;290499;Hacker Group;Zero-day;Firewall;61
China;2019;Ransomware;Telecommunications;34.88;945483;Nation-state;Weak Passwords;VPN;34
Nigeria;2024;Man-in-the-Middle;Government;9.18;491743;Nation-state;Weak Passwords;AI-based Detection;54
UK;2016;DDoS;Education;31.91;80818;Unknown;Social Engineering;Antivirus;110
UK;2015;SQL Injection;Healthcare;80.92;10437;Hacker Group;Zero-day;Firewall;46
South Korea;2019;Malware;Healthcare;36.79;124468;Insider;Weak Passwords;Encryption;54
Russia;2016;Phishing;Banking;68.51;983498;Hacker Group;Social Engineering;VPN;74
Italy;2019;Phishing;Banking;94.28;303580;Nation-state;Social Engineering;VPN;119
Germany;2021;Ransomware;Retail;4.24;996082;Hacker Group;Weak Passwords;Antivirus;116
Spain;2017;SQL Injection;IT;15.19;35918;Unknown;Zero-day;Firewall;88
Canada;2019;DDoS;Government;72.94;631608;Hacker Group;Unpatched Software;AI-based Detection;97
Israel;2022;SQL Injection;Banking;67.45;47453;Insider;Zero-day;Firewall;26
Nigeria;2018;SQL Injection;Education;55.98;685717;Unknown;Zero-day;Firewall;52
Mexico;2017;Malware;Healthcare;95.75;832826;Unknown;Weak Passwords;Antivirus;86
Japan;2016;Ransomware;Healthcare;67.79;349330;Nation-state;Weak Passwords;Firewall;91
France;2015;DDoS;Banking;47.22;914403;Unknown;Weak Passwords;Antivirus;110
Australia;2016;Malware;Government;70.42;382234;Hacker Group;Weak Passwords;VPN;61
Germany;2019;Ransomware;IT;68.27;741109;Insider;Weak Passwords;Antivirus;41
Russia;2015;Malware;Retail;67.23;77871;Hacker Group;Zero-day;AI-based Detection;50
South Korea;2016;Man-in-the-Middle;Government;14.52;284302;Hacker Group;Social Engineering;Firewall;80
Nigeria;2017;Malware;IT;20.14;518719;Nation-state;Weak Passwords;AI-based Detection;87
Canada;2021;Phishing;Education;34.97;46486;Unknown;Social Engineering;VPN;37
Iran;2023;Phishing;Retail;17.95;652407;Nation-state;Social Engineering;Antivirus;50
Italy;2018;Malware;Telecommunications;94.87;497618;Nation-state;Social Engineering;Encryption;32
Canada;2018;SQL Injection;Government;26.22;809421;Nation-state;Zero-day;Firewall;39
Germany;2015;SQL Injection;Retail;87.55;267704;Nation-state;Zero-day;Firewall;90
Japan;2018;Malware;Retail;29.62;101923;Nation-state;Zero-day;AI-based Detection;99
Spain;2021;SQL Injection;Healthcare;33.53;906616;Hacker Group;Zero-day;Firewall;48
South Africa;2016;Man-in-the-Middle;Telecommunications;74.65;417908;Nation-state;Unpatched Software;VPN;66
Canada;2018;Phishing;Government;55.38;956181;Insider;Social Engineering;Antivirus;37
India;2018;Ransomware;Banking;59.82;819094;Nation-state;Weak Passwords;Firewall;97
Germany;2019;Ransomware;Telecommunications;13.63;154826;Insider;Weak Passwords;AI-based Detection;85
UK;2022;Ransomware;IT;4.36;648378;Insider;Weak Passwords;Encryption;115
Japan;2019;Ransomware;IT;67.46;143100;Insider;Weak Passwords;Firewall;29
India;2015;Phishing;IT;26.38;985960;Nation-state;Social Engineering;VPN;41
Russia;2015;SQL Injection;Healthcare;28.83;368040;Unknown;Zero-day;Firewall;56
Mexico;2022;Ransomware;Banking;90.55;436812;Nation-state;Weak Passwords;Antivirus;85
Japan;2017;Phishing;IT;73.52;727115;Nation-state;Social Engineering;Antivirus;108
Iran;2017;Man-in-the-Middle;Retail;48.0;303626;Hacker Group;Unpatched Software;Antivirus;37
South Korea;2024;SQL Injection;Telecommunications;28.15;459333;Insider;Zero-day;Firewall;71
France;2015;Ransomware;Banking;21.22;935232;Nation-state;Weak Passwords;Firewall;49
China;2022;Malware;Government;49.71;39382;Hacker Group;Weak Passwords;VPN;29
South Korea;2019;Phishing;Education;65.04;295499;Insider;Social Engineering;VPN;94
South Africa;2020;SQL Injection;Telecommunications;73.43;790209;Hacker Group;Zero-day;Firewall;76
Iran;2024;Phishing;Banking;49.88;574354;Unknown;Social Engineering;Antivirus;29
Brazil;2022;DDoS;Retail;93.18;582379;Nation-state;Unpatched Software;AI-based Detection;109
China;2024;Ransomware;Healthcare;35.08;105719;Nation-state;Weak Passwords;Encryption;31
UK;2020;Phishing;Education;21.69;651405;Nation-state;Social Engineering;VPN;34
Spain;2015;SQL Injection;Government;2.77;378833;Insider;Zero-day;Firewall;70
USA;2017;Malware;Telecommunications;62.88;684322;Hacker Group;Unpatched Software;VPN;117
India;2018;DDoS;Telecommunications;59.35;85902;Hacker Group;Social Engineering;AI-based Detection;83
Australia;2023;Ransomware;Telecommunications;11.15;171123;Nation-state;Weak Passwords;Firewall;104
Australia;2020;SQL Injection;Education;19.19;931377;Unknown;Zero-day;Firewall;62
India;2020;Malware;Education;30.45;544985;Insider;Weak Passwords;Encryption;40
Canada;2017;Phishing;Government;88.99;992657;Insider;Social Engineering;Antivirus;64
Brazil;2022;Phishing;Healthcare;31.02;970814;Unknown;Social Engineering;Antivirus;114
Nigeria;2020;DDoS;Telecommunications;6.48;387077;Hacker Group;Social Engineering;VPN;74
Spain;2020;Ransomware;Healthcare;1.92;907280;Hacker Group;Weak Passwords;Firewall;50
Russia;2020;SQL Injection;Telecommunications;48.56;605074;Hacker Group;Zero-day;Firewall;101
Israel;2017;Ransomware;Education;68.04;408808;Unknown;Weak Passwords;Antivirus;45
USA;2018;Man-in-the-Middle;Banking;6.27;976047;Nation-state;Unpatched Software;VPN;120
Italy;2018;SQL Injection;IT;48.64;830384;Nation-state;Zero-day;Firewall;83
South Africa;2017;Man-in-the-Middle;Retail;15.64;482571;Hacker Group;Weak Passwords;Antivirus;46
Spain;2024;Malware;IT;64.01;233749;Insider;Unpatched Software;Antivirus;24
Germany;2022;SQL Injection;Banking;32.51;603946;Hacker Group;Zero-day;Firewall;73
France;2024;Phishing;Education;29.5;713977;Nation-state;Social Engineering;VPN;84
Spain;2016;Phishing;Retail;56.61;324990;Insider;Social Engineering;VPN;92
Israel;2024;Man-in-the-Middle;Telecommunications;83.85;406439;Insider;Social Engineering;Antivirus;24
Brazil;2019;SQL Injection;Telecommunications;20.85;49037;Unknown;Zero-day;Firewall;66
Spain;2024;Ransomware;IT;23.83;538892;Nation-state;Weak Passwords;Firewall;47
Canada;2022;SQL Injection;Education;68.11;67789;Hacker Group;Zero-day;Firewall;24
USA;2020;Phishing;Education;17.44;22517;Nation-state;Social Engineering;Antivirus;110
Italy;2018;Malware;Healthcare;47.13;124739;Insider;Zero-day;Antivirus;60
Mexico;2015;Malware;Government;20.44;223278;Hacker Group;Unpatched Software;Encryption;93
France;2021;Malware;Education;88.44;358794;Nation-state;Unpatched Software;Antivirus;33
UK;2021;SQL Injection;Government;76.71;800141;Hacker Group;Zero-day;Firewall;69
Mexico;2022;Phishing;Healthcare;12.77;809149;Insider;Social Engineering;Antivirus;33
USA;2016;Ransomware;Telecommunications;56.53;494926;Hacker Group;Weak Passwords;Firewall;62
Germany;2020;Phishing;Government;20.97;962650;Insider;Social Engineering;Antivirus;78
South Korea;2015;SQL Injection;IT;71.28;532605;Nation-state;Zero-day;Firewall;50
Japan;2018;SQL Injection;Education;42.74;554174;Hacker Group;Zero-day;Firewall;43
Mexico;2022;DDoS;IT;68.87;570973;Hacker Group;Social Engineering;Firewall;75
Mexico;2015;SQL Injection;Healthcare;53.57;757837;Hacker Group;Zero-day;Firewall;39
South Korea;2024;Malware;Healthcare;99.92;254982;Nation-state;Weak Passwords;AI-based Detection;71
USA;2020;Man-in-the-Middle;Healthcare;17.33;887290;Unknown;Weak Passwords;AI-based Detection;81
Nigeria;2018;Malware;Healthcare;83.34;338179;Unknown;Unpatched Software;Encryption;110
Israel;2022;Man-in-the-Middle;Banking;23.85;808471;Nation-state;Social Engineering;AI-based Detection;78
Israel;2022;Ransomware;Banking;36.84;358581;Unknown;Weak Passwords;AI-based Detection;65
South Korea;2019;SQL Injection;IT;94.6;627746;Insider;Zero-day;Firewall;80
France;2022;DDoS;Government;65.77;561951;Hacker Group;Unpatched Software;Antivirus;101
France;2020;Malware;IT;68.52;862366;Unknown;Zero-day;VPN;35
China;2018;Malware;Education;86.32;606074;Hacker Group;Weak Passwords;Antivirus;104
India;2022;Ransomware;Retail;72.61;575285;Unknown;Weak Passwords;AI-based Detection;100
Germany;2022;Malware;Banking;67.17;288443;Nation-state;Unpatched Software;VPN;62
India;2015;Ransomware;Retail;75.85;858321;Unknown;Weak Passwords;Antivirus;76
South Africa;2018;Malware;Retail;90.62;301040;Insider;Zero-day;VPN;41
Nigeria;2022;SQL Injection;Retail;36.17;631174;Nation-state;Zero-day;Firewall;54
South Korea;2019;Phishing;Retail;87.01;685326;Unknown;Social Engineering;Antivirus;115
Iran;2024;Malware;Retail;46.17;950895;Hacker Group;Unpatched Software;Firewall;117
Israel;2020;Ransomware;Retail;93.05;848813;Insider;Weak Passwords;Encryption;100
Mexico;2019;Malware;Government;49.99;795267;Insider;Unpatched Software;Antivirus;86
Germany;2019;Man-in-the-Middle;Healthcare;32.78;947334;Unknown;Unpatched Software;Antivirus;57
South Africa;2018;DDoS;Telecommunications;21.43;753196;Unknown;Zero-day;Encryption;33
Japan;2015;Man-in-the-Middle;Education;77.29;334488;Nation-state;Unpatched Software;VPN;83
UK;2018;Phishing;Telecommunications;72.33;847682;Nation-state;Social Engineering;VPN;72
Japan;2024;Phishing;Healthcare;67.67;575078;Insider;Social Engineering;Antivirus;87
Russia;2021;DDoS;Banking;83.38;201934;Hacker Group;Zero-day;Antivirus;72
South Korea;2016;Malware;Healthcare;29.54;582907;Insider;Social Engineering;VPN;31
Australia;2021;Man-in-the-Middle;Telecommunications;67.61;391161;Nation-state;Unpatched Software;VPN;39
USA;2021;Malware;Banking;15.8;263376;Unknown;Unpatched Software;AI-based Detection;42
Canada;2017;Ransomware;Banking;87.4;223156;Hacker Group;Weak Passwords;VPN;103
Iran;2015;Phishing;IT;3.43;687988;Insider;Social Engineering;VPN;26
South Korea;2015;DDoS;Education;66.44;864724;Hacker Group;Zero-day;VPN;111
Mexico;2020;Malware;Banking;85.12;699973;Nation-state;Unpatched Software;Firewall;49
Nigeria;2024;SQL Injection;Retail;23.36;828877;Hacker Group;Zero-day;Firewall;67
Iran;2015;Phishing;Education;93.85;977132;Insider;Social Engineering;VPN;30
USA;2015;Malware;Healthcare;10.07;286254;Nation-state;Weak Passwords;VPN;99
South Korea;2016;Malware;Government;11.8;795962;Nation-state;Social Engineering;AI-based Detection;91
Mexico;2024;DDoS;Healthcare;82.72;180869;Insider;Unpatched Software;Encryption;42
India;2018;Man-in-the-Middle;Retail;36.29;934268;Unknown;Zero-day;VPN;37
Germany;2018;Ransomware;Telecommunications;29.18;474379;Unknown;Weak Passwords;Firewall;120
Mexico;2020;DDoS;Retail;34.34;606120;Nation-state;Social Engineering;AI-based Detection;106
Israel;2015;Malware;Retail;58.63;15332;Insider;Unpatched Software;Firewall;32
Nigeria;2015;SQL Injection;Healthcare;78.36;394852;Insider;Zero-day;Firewall;103
UK;2018;Man-in-the-Middle;Government;96.73;737607;Insider;Weak Passwords;Firewall;93
Mexico;2020;Malware;IT;97.98;126234;Unknown;Unpatched Software;Antivirus;43
Canada;2022;Man-in-the-Middle;Healthcare;9.55;85685;Insider;Unpatched Software;AI-based Detection;102
India;2021;Ransomware;Retail;32.85;278336;Insider;Weak Passwords;AI-based Detection;117
Iran;2023;DDoS;Healthcare;31.29;302091;Unknown;Social Engineering;Antivirus;70
Iran;2017;Man-in-the-Middle;Retail;29.99;743836;Insider;Zero-day;Antivirus;76
Spain;2020;Ransomware;Telecommunications;54.52;711761;Insider;Weak Passwords;Encryption;51
Nigeria;2021;Man-in-the-Middle;IT;75.42;494325;Hacker Group;Unpatched Software;Encryption;39
USA;2024;Malware;Telecommunications;43.75;977180;Insider;Social Engineering;Firewall;41
Canada;2018;Ransomware;Telecommunications;94.76;611845;Hacker Group;Weak Passwords;VPN;68
Spain;2019;DDoS;Education;22.87;945556;Nation-state;Social Engineering;Firewall;115
UK;2018;SQL Injection;Telecommunications;16.42;543645;Nation-state;Zero-day;Firewall;76
Italy;2023;Man-in-the-Middle;Telecommunications;34.46;386916;Nation-state;Zero-day;Firewall;78
Mexico;2022;Phishing;Retail;53.19;353915;Nation-state;Social Engineering;Antivirus;110
Germany;2016;Malware;IT;76.83;823795;Insider;Weak Passwords;AI-based Detection;63
China;2019;SQL Injection;IT;56.46;160231;Unknown;Zero-day;Firewall;116
South Korea;2020;DDoS;Retail;65.32;902664;Nation-state;Zero-day;Firewall;85
South Africa;2020;DDoS;Education;22.25;296739;Unknown;Weak Passwords;Encryption;56
China;2019;SQL Injection;Retail;14.49;634770;Unknown;Zero-day;Firewall;33
Japan;2023;DDoS;Retail;78.28;35100;Unknown;Zero-day;VPN;35
Japan;2017;Ransomware;Healthcare;35.86;377793;Hacker Group;Weak Passwords;AI-based Detection;80
Israel;2015;SQL Injection;Education;32.43;471883;Insider;Zero-day;Firewall;54
Italy;2016;Malware;Government;7.4;553183;Insider;Social Engineering;VPN;40
South Africa;2017;Malware;Telecommunications;26.75;321536;Nation-state;Social Engineering;VPN;103
Brazil;2015;Phishing;IT;35.79;502446;Unknown;Social Engineering;VPN;113
Mexico;2021;SQL Injection;Retail;29.05;435094;Nation-state;Zero-day;Firewall;54
Australia;2018;Malware;IT;15.3;845733;Insider;Weak Passwords;Antivirus;62
Russia;2022;Man-in-the-Middle;Telecommunications;15.2;776763;Insider;Unpatched Software;VPN;56
Mexico;2023;Man-in-the-Middle;Banking;7.4;178481;Hacker Group;Unpatched Software;VPN;89
France;2015;SQL Injection;Education;17.08;296909;Nation-state;Zero-day;Firewall;105
South Africa;2016;SQL Injection;Government;66.7;914464;Hacker Group;Zero-day;Firewall;46
Germany;2017;Ransomware;Retail;27.33;528099;Insider;Weak Passwords;Encryption;44
South Africa;2022;SQL Injection;Telecommunications;20.95;302356;Hacker Group;Zero-day;Firewall;73
Italy;2017;Ransomware;Healthcare;33.39;130005;Hacker Group;Weak Passwords;Encryption;119
Japan;2018;Man-in-the-Middle;IT;78.71;550095;Unknown;Zero-day;Firewall;47
Russia;2020;SQL Injection;Healthcare;20.49;165439;Insider;Zero-day;Firewall;87
Russia;2022;Man-in-the-Middle;IT;33.32;971032;Hacker Group;Weak Passwords;VPN;101
Nigeria;2019;Ransomware;Healthcare;9.08;889219;Unknown;Weak Passwords;Firewall;98
Canada;2022;DDoS;IT;84.17;137750;Insider;Weak Passwords;Firewall;110
Germany;2020;SQL Injection;Retail;18.11;400708;Unknown;Zero-day;Firewall;32
South Korea;2023;Ransomware;IT;61.54;715586;Unknown;Weak Passwords;Firewall;81
Brazil;2015;SQL Injection;Healthcare;43.31;945597;Insider;Zero-day;Firewall;97
India;2017;Phishing;Banking;41.85;920609;Insider;Social Engineering;Antivirus;35
South Korea;2015;Ransomware;Education;26.13;94870;Unknown;Weak Passwords;VPN;61
Nigeria;2015;Malware;IT;7.9;235143;Hacker Group;Zero-day;AI-based Detection;42
Brazil;2016;SQL Injection;Telecommunications;4.55;150585;Unknown;Zero-day;Firewall;119
UK;2020;Ransomware;Telecommunications;23.29;217273;Hacker Group;Weak Passwords;AI-based Detection;45
USA;2021;Malware;Healthcare;62.8;333762;Hacker Group;Unpatched Software;Encryption;103
Iran;2016;Phishing;Telecommunications;3.3;173123;Nation-state;Social Engineering;Antivirus;117
Brazil;2021;Ransomware;Education;3.24;347711;Insider;Weak Passwords;AI-based Detection;79
Japan;2016;Phishing;Education;72.15;744508;Hacker Group;Social Engineering;VPN;104
China;2024;SQL Injection;Education;78.33;48622;Unknown;Zero-day;Firewall;87
UK;2019;Ransomware;Banking;29.83;704678;Hacker Group;Weak Passwords;Antivirus;55
Canada;2016;SQL Injection;IT;57.72;84611;Insider;Zero-day;Firewall;81
Spain;2018;Phishing;Banking;58.19;387829;Insider;Social Engineering;Antivirus;100
UK;2015;SQL Injection;IT;71.0;655548;Hacker Group;Zero-day;Firewall;103
Brazil;2015;Phishing;IT;39.35;984174;Nation-state;Social Engineering;Antivirus;75
South Korea;2015;DDoS;Healthcare;56.78;437557;Nation-state;Weak Passwords;VPN;93
Italy;2017;Malware;Telecommunications;16.28;549341;Unknown;Weak Passwords;Firewall;42
UK;2017;SQL Injection;Retail;33.6;496632;Unknown;Zero-day;Firewall;103
USA;2024;Ransomware;Retail;86.06;367660;Unknown;Weak Passwords;AI-based Detection;42
Italy;2024;SQL Injection;Retail;87.81;713960;Insider;Zero-day;Firewall;71
Canada;2021;Ransomware;Retail;19.61;368039;Hacker Group;Weak Passwords;AI-based Detection;119
Russia;2016;Malware;Telecommunications;53.19;842852;Hacker Group;Social Engineering;VPN;115
South Africa;2020;Man-in-the-Middle;Education;46.6;88824;Nation-state;Social Engineering;VPN;75
USA;2016;Ransomware;Education;49.99;533802;Nation-state;Weak Passwords;Antivirus;81
Iran;2021;Malware;Retail;80.3;114306;Unknown;Unpatched Software;AI-based Detection;69
Australia;2019;Man-in-the-Middle;Retail;65.18;996029;Nation-state;Zero-day;AI-based Detection;118
USA;2021;Man-in-the-Middle;Healthcare;13.09;171585;Unknown;Unpatched Software;Encryption;120
Australia;2024;Ransomware;Government;78.52;517649;Unknown;Weak Passwords;Encryption;117
Canada;2020;Malware;Retail;45.29;637358;Hacker Group;Unpatched Software;Encryption;44
Israel;2018;Malware;IT;64.41;71122;Hacker Group;Zero-day;VPN;45
Israel;2023;Man-in-the-Middle;Telecommunications;53.17;69035;Insider;Social Engineering;Firewall;96
Canada;2016;Ransomware;Banking;32.71;259788;Hacker Group;Weak Passwords;Firewall;67
South Korea;2023;Malware;Education;79.86;968603;Hacker Group;Unpatched Software;AI-based Detection;44
USA;2018;DDoS;Retail;44.93;283778;Nation-state;Zero-day;Encryption;104
South Africa;2021;DDoS;Telecommunications;58.63;222614;Unknown;Unpatched Software;Encryption;75
Canada;2016;Malware;Banking;79.71;409481;Nation-state;Unpatched Software;AI-based Detection;37
Japan;2023;Phishing;Healthcare;63.44;508142;Hacker Group;Social Engineering;Antivirus;109
South Africa;2024;Malware;Education;92.73;104329;Hacker Group;Unpatched Software;Encryption;65
USA;2022;SQL Injection;Banking;86.11;924240;Unknown;Zero-day;Firewall;120
Spain;2018;Ransomware;IT;16.26;177981;Nation-state;Weak Passwords;Antivirus;27
Brazil;2023;Man-in-the-Middle;IT;38.18;884003;Insider;Social Engineering;VPN;38
USA;2017;DDoS;Government;49.49;817857;Insider;Social Engineering;Encryption;78
Australia;2020;DDoS;Government;19.64;505050;Unknown;Zero-day;AI-based Detection;53
China;2015;Man-in-the-Middle;IT;1.17;792634;Insider;Zero-day;Firewall;89
Russia;2016;DDoS;IT;31.55;710381;Hacker Group;Zero-day;Antivirus;81
Spain;2015;Ransomware;Healthcare;35.09;30004;Hacker Group;Weak Passwords;VPN;45
UK;2021;DDoS;IT;16.68;399948;Insider;Social Engineering;AI-based Detection;90
UK;2017;DDoS;Education;39.44;734803;Hacker Group;Unpatched Software;VPN;89
UK;2019;DDoS;Retail;66.59;850335;Unknown;Weak Passwords;VPN;44
